source_dir,source_file,source_lang,token_index,ocr_original_text,translated_by_google
sample/es,1 - es.jpg,es_XX,34,daie Given/ (ollecied PPD OR IGRA MINUS NIL ReSULT focho de odministración/ (OMFONENT (MIk OR IUHML OR SPOTS] dotos recopilados PPD IGRA menos resultado,daie Given/ (collected PPD OR IGRA MINUS NIL ReSULT fofo de odministración/ (OMFONENT (MIk OR IUHML OR SPOTS] data collected PPD IGRA minus result
sample/es,1 - es.jpg,es_XX,35,IGRA MiNus NIl ReSULT (OMPONENT 2 (IU/MML OR SPOTS] IGRA menos resultado,IGRA MiNus Nil ReSULT (OMPONENT 2 (IU/MML OR SPOTS] IGRA less result
sample/es,1 - es.jpg,es_XX,36,INTERPRETATION interpretación,INTERPRETATION interpretation
sample/es,1 - es.jpg,es_XX,37,DOCTOR OFFICE OR (LINIC médico cilnico,DOCTOR OFFICE OR (LINIC medical clinic
sample/es,1 - es.jpg,es_XX,38,INM 75 {3/201,INM 75 {3/201
sample/ger,3 - ger.jpg,de_DE,0,"Weitere Schutzimpfungen Other Vaccinations Impfstoffart Datum Handelsname / [Unterschrift und Chargen-Nr. Stempel Date Kind of vaccine Dosis des Al982 Proprietary name / Batch no. Pr mDocto ciefrpayesen feshara And Kannnmesen COVID-19 Vaccine Rausy 19 Infe Verscgung 34 AstraZeneca Ksy /Sportrnedizin Lot ABV5652 88 B Jeren Eoathzia 7404-7617 Rausarztliche Yersorgurg Motzstruße 19, 10777 gerlin Tel C3or*2*03 Fx 23510722 /co3 coM COMIRNATYS OMRMAy Pres. Jessen Ch.-B.: FE9174 2 ~oa""R Mbtzstaa918 {aisrlin 2621 BSRNr","Other Vaccinations Vaccine type Date Trade name / [Signature and Batch No. Stamp Date Kind of vaccine Dose of Al982 Proprietary name / Batch no. Pr mDocto ciefrpayesen feshara And Kannnmesen COVID-19 Vaccine Rausy 19 Infe Verschgung 34 AstraZeneca Ksy /Sportrmedizin Lot ABV5652 88 B Jeren Eoathzia 7404-7617 Rausarztliche Yersorgurg Motzstruße 19, 10777 Gerlin Tel. C3or*2*03 Fx 23510722 /co3 coM COMIRNATYS OMRMAy Pres. Jessen Ch.-B.: FE9174 2 ~oa&quot;R Mbtzstaa918 {aisrlin 2621 BSRNr"
sample/ger,2 - ger.jpg,de_DE,0,"MEXIVHAPOIHOE   CBHIETEJIBCTBO 0 BAKLILHALIMI HJIH   PEBAKLIHIHALIHI   TIPOTHB   DKEJITOTI JIXOPAIKI INTERNATIONAL  CERTIFICATE OF VACCINATION OR REVACCINATION AGAINST YELLOW FEVER CERTIFICAT INTERNATIONAL DE VACCINATION Ou DE REVACCINATION CONTRE LA FIEVRE JAUNE Hauiéa 442cennz Ynocronepsetca, 4TO 22 2eluuzcce)b? 19622= poxuenua IOJI 4l4722 _ neHB, Mecau Il TOI This is to certify that Je soussigné (e) certifie que 464 [IOJIIHCB cJcAyCT date of birth 1962 sex whose signature follows né (e) le sexe dont la signature suit bbíJl (a) BakIHpOBaH (a) IUII peBaKuInFfoBan (a) IpOTIIB XeITOM uxOpaAKI HIDKe- ceuyIOwerO qCJIa has on the   datë indicated been vaccinated Or revaccinated against yellow fever, a été vacciné (e) ou revacciné (e) contre la fièvre jaune à la date indiquée.","MEXIVHAPOIHOE CBHIETEJIBCTBO 0 BAKLILHALIMI HJIH PEBAKLIHIHALIHI TIPOTHB DKEJITOTI JIXOPAIKI INTERNATIONAL CERTIFICATE OF VACCINATION OR REVACCINATION AGAINST YELLOW FEVER CERTIFICAT INTERNATIONAL DE VACCINATION Ou DE REVACCINATION CONTRE LA FIEVRE JAUNE Hauiéa 442cennz Ynocronepsetca, 4TO 22 2eluuzcce)b? 19622= poxuenua IOJI 4l4722 _ neHB, Mecau Il TOI This is to certify that Je soussigné (e) certifie que 464 [IOJIIHCB cJcAyCT date of birth 1962 sex whose signature follows né (e) le sexe dont la signature suit bbíJl (a) BakIHpOBaH (a) IUII peBaKuInFfoBan (a) IpOTIIB"
sample/ger,2 - ger.jpg,de_DE,1,"KeM I3rO TOBJCHa [ounIc6 IOJUKHOCTb OquunabHas neqaTb JILa, li Ng cepun yupex - æeaBLerO TpIBIBKY BaKIIHBI IeHIIS, TIe   npousBezeHa Origin and IpIIBHBKa Iara Signature and professional batch no. status of vaccinator of vaccine Official   stamp of   vaccinating Date centre Origine du Signature et qualité   professi - vaccin em- onelle du   vaccinateur Cachet officiel du centre ployé et de vaccination numéro du lot 78TI Yaszcy 2 fnf Nck",Status of vaccinator of vaccine Official stamp of vaccinating Date center Origine du Signature et qualité professi - vaccin em-onelle du vaccinateur Cachet officiel du center ployé et de vaccination numéro du lot 78TI Yaszcy 2 fnf Nck
sample/ger,2 - ger.jpg,de_DE,2,2,2
sample/ger,1 - ger.jpg,de_DE,0,"Other vaccinations Autres vaccinations Weitere Fièvre Schutzimpfungen; typhoide) Cholera, z.B. gegen Rage)  Typhus Meningitis Pneumococcosis, abdom. U.8. iTypl FSME, Tollwy Dale Kind of vaccination Dalum Manière de vaccination Dose Art der Dosis Signature Impfung Unterschritt 1O 2 '4 COVID-19 0,3","Other vaccinations Autres vaccinations Other vaccinations (typhoid) Cholera, e.g. against rabies) Typhus Meningitis Pneumococcosis, abdominal U.8. TBE, Toll-borne encephalitis Kind of vaccination Dose Type of dose Signature Vaccination Sub-step 10 2 &#39;4 COVID-19 0.3"
